canal_id,nombre_canal,categoria,provincia,ciudad,suscriptores,certeza,metodo_deteccion,indicadores_argentinidad,url,fecha_deteccion
UCYIFILMju_-gXyhTb9-mbJw,MaidenArg Iron Maiden Argentina,Charlas/Podcast,Argentina,Por determinar,2700.0,100.0,explicit_country,"""metadata_AR, codigo_ARGENTINA, menciona_argentina, menciona_arg""",https://youtube.com/channel/UCYIFILMju_-gXyhTb9-mbJw,2025-07-02
UCE8whPomb-u52ToG2Qr0sJg,Multimedios Ciudad,Estilo de Vida,Chaco,Por determinar,990.0,100.0,explicit_country,"""metadata_AR, codigo_CHACO, menciona_argentina, menciona_arg, locations_1""",https://youtube.com/channel/UCE8whPomb-u52ToG2Qr0sJg,2025-07-02
UCCDRu5BLs5ie2jnJUXlOROg,A PURO FUTBOL,Deportes,Argentina,Por determinar,324000.0,100.0,explicit_country,"""metadata_AR, codigo_ARGENTINA, menciona_argentina, menciona_argentino, menciona_arg""",https://youtube.com/channel/UCCDRu5BLs5ie2jnJUXlOROg,2025-07-03
UCIkiK9EG3BIgivQdGQVwfMw,Cancha Abierta,Charlas/Podcast,Misiones,Por determinar,1850.0,100.0,explicit_country,"""metadata_AR, menciona_argentino, menciona_arg, menciona_🇦🇷, locations_1""",https://youtube.com/channel/UCIkiK9EG3BIgivQdGQVwfMw,2025-07-03
UCjMGMWnToRcQRqmyVB4R2xQ,CLARÍN,Charlas/Podcast,Argentina,Por determinar,1310000.0,100.0,explicit_country,"""metadata_AR, codigo_ARGENTINA, menciona_argentina, menciona_arg""",https://youtube.com/channel/UCjMGMWnToRcQRqmyVB4R2xQ,2025-07-03
UCWA4L9EcHzARusb3oK7MIhA,canal i - Florida,Deportes,Buenos Aires,Por determinar,3540.0,100.0,explicit_country,"""metadata_AR, codigo_ARGENTINA, menciona_argentina, menciona_arg, locations_2""",https://youtube.com/channel/UCWA4L9EcHzARusb3oK7MIhA,2025-07-04
UCqCLJ6QBl6X9kQyRtEk-NCg,Iglesia Maranatha Argentina,Arte/Creatividad,Buenos Aires,Por determinar,2170.0,100.0,explicit_country,"""metadata_AR, codigo_ARGENTINA, menciona_argentina, menciona_arg, locations_1""",https://youtube.com/channel/UCqCLJ6QBl6X9kQyRtEk-NCg,2025-07-04
UCWepqrtrANMkbeoBMHxNbOg,La Voz Argentina,Música,Argentina,Por determinar,1180000.0,100.0,explicit_country,"""metadata_AR, codigo_ARGENTINA, menciona_argentina, menciona_arg""",https://youtube.com/channel/UCWepqrtrANMkbeoBMHxNbOg,2025-07-04
UCI8aq4En4CYA0QQeVHJ70nw,LiveDirecto Streaming Profesional,Tecnología,Buenos Aires,Por determinar,951.0,82.0,local_code,"""codigo_ARGENTINA, menciona_argentina, menciona_arg, locations_1""",https://youtube.com/channel/UCI8aq4En4CYA0QQeVHJ70nw,2025-07-04
UCQoKWemIRiWP87mToLyOYoQ,Cuerpo de Cristo Cordoba Argentina.,Entretenimiento,Argentina,Por determinar,895.0,100.0,explicit_country,"""metadata_AR, codigo_CORDOBA, menciona_argentina, menciona_arg""",https://youtube.com/channel/UCQoKWemIRiWP87mToLyOYoQ,2025-07-04
UCTJ0n6Hal7PpHERq4To6iHg,RADIO2 - EN VIVO,Deportes,Santa Fe,Por determinar,14600.0,100.0,explicit_country,"""metadata_AR, codigo_ROSARIO, menciona_argentina, menciona_arg, modismos_1, locations_1""",https://youtube.com/channel/UCTJ0n6Hal7PpHERq4To6iHg,2025-07-04
UCPNeLjv9WYq4d3FAOkrMIFg,¡Nico Fandubs!,,,,199000.0,100.0,manual,,https://youtube.com/channel/UCPNeLjv9WYq4d3FAOkrMIFg,2025-07-04
UCOpxYGU6whNOWd2LWzkFEKQ,220 Podcast,,,,53100.0,100.0,manual,,https://youtube.com/channel/UCOpxYGU6whNOWd2LWzkFEKQ,2025-07-04
UCR9120YBAqMfntqgRTKmkjQ,A24com,,,,2250000.0,100.0,manual,,https://youtube.com/channel/UCR9120YBAqMfntqgRTKmkjQ,2025-07-04
UCGG8k5yJrU0PQ8sacAQOxXQ,Actitud Independiente,,,,1340.0,100.0,manual,,https://youtube.com/channel/UCGG8k5yJrU0PQ8sacAQOxXQ,2025-07-04
